Date,Open,High,Low,Close,Adj Close,Volume,percentage
2004-07-09,8.360.000.000,8.510.000.000,8.350.000.000,8.480.000.000,6.175.702.637,38780000,"21557,50%"
2004-07-12,8.520.000.000,8.590.000.000,8.440.000.000,8.460.000.000,6.161.137.695,33385000,"25520,44%"
2004-07-13,8.530.000.000,8.670.000.000,8.440.000.000,8.670.000.000,6.314.072.266,25770000,"33100,50%"
2004-07-14,8.590.000.000,8.650.000.000,8.330.000.000,8.360.000.000,6.088.310.547,30450000,"28210,18%"
2004-07-15,8.320.000.000,8.380.000.000,7.990.000.000,8.170.000.000,5.949.938.965,57275000,"14526,41%"
2004-07-16,8.080.000.000,8.460.000.000,7.990.000.000,8.460.000.000,6.161.137.695,48085000,"16803,58%"
2004-07-19,8.300.000.000,8.550.000.000,8.280.000.000,8.530.000.000,6.212.116.699,24125000,"34404,15%"
2004-07-20,8.380.000.000,8.460.000.000,8.340.000.000,8.340.000.000,6.073.744.141,20245000,"41392,94%"
2004-07-21,8.530.000.000,8.630.000.000,8.500.000.000,8.590.000.000,6.255.812.012,23740000,"35930,92%"
2004-07-22,8.350.000.000,8.370.000.000,8.270.000.000,8.350.000.000,6.081.027.832,31100000,"26848,87%"
2004-07-23,8.340.000.000,8.430.000.000,8.310.000.000,8.360.000.000,6.088.310.547,19550000,"42659,85%"
2004-07-26,8.200.000.000,8.410.000.000,8.200.000.000,8.360.000.000,6.088.310.547,16385000,"50045,77%"
2004-07-27,8.280.000.000,8.420.000.000,8.200.000.000,8.400.000.000,6.117.440.430,20840000,"39731,29%"
2004-07-28,8.540.000.000,8.590.000.000,8.420.000.000,8.460.000.000,6.161.137.695,23450000,"36417,91%"
2004-07-29,8.310.000.000,8.360.000.000,8.200.000.000,8.220.000.000,5.986.354.980,17945000,"46308,16%"
2004-07-30,8.330.000.000,8.390.000.000,8.280.000.000,8.340.000.000,6.073.744.141,19500000,"42717,95%"
2004-08-02,8.350.000.000,8.350.000.000,8.160.000.000,8.160.000.000,5.942.658.203,22380000,"37310,10%"
2004-08-03,8.200.000.000,8.300.000.000,8.180.000.000,8.260.000.000,6.015.484.375,14365000,"57083,19%"
2004-08-04,8.110.000.000,8.260.000.000,8.060.000.000,8.260.000.000,6.015.484.375,18795000,"43149,77%"
2004-08-05,8.260.000.000,8.470.000.000,8.210.000.000,8.460.000.000,6.161.137.695,21590000,"38258,45%"
2004-08-06,8.300.000.000,8.520.000.000,8.280.000.000,8.390.000.000,6.110.158.691,17920000,"46316,96%"
2004-08-09,8.160.000.000,8.380.000.000,8.160.000.000,8.380.000.000,6.102.876.465,25340000,"32202,05%"
2004-08-10,8.340.000.000,8.510.000.000,8.330.000.000,8.480.000.000,6.175.702.637,18820000,"44314,56%"
2004-08-11,8.560.000.000,8.610.000.000,8.510.000.000,8.510.000.000,6.197.551.758,18415000,"46483,84%"
2004-08-12,8.460.000.000,8.620.000.000,8.430.000.000,8.620.000.000,6.277.660.645,28485000,"29699,84%"
2004-08-13,8.620.000.000,8.800.000.000,8.520.000.000,8.760.000.000,6.379.618.652,24825000,"34723,06%"
2004-08-16,8.720.000.000,8.760.000.000,8.530.000.000,8.600.000.000,6.263.095.215,18070000,"48256,78%"
2004-08-17,8.700.000.000,8.720.000.000,8.510.000.000,8.510.000.000,6.197.551.758,14355000,"60606,06%"
2004-08-18,8.590.000.000,8.640.000.000,8.450.000.000,8.600.000.000,6.263.095.215,20750000,"41397,59%"
2004-08-19,8.690.000.000,8.840.000.000,8.680.000.000,8.830.000.000,6.430.595.215,27970000,"31069,00%"
2004-08-20,8.790.000.000,8.790.000.000,8.670.000.000,8.680.000.000,6.321.355.957,16310000,"53893,32%"
2004-08-23,8.740.000.000,8.790.000.000,8.620.000.000,8.760.000.000,6.379.618.652,21770000,"40146,99%"
2004-08-24,8.780.000.000,8.940.000.000,8.690.000.000,8.900.000.000,6.481.572.754,20250000,"43358,02%"
2004-08-25,8.920.000.000,9.060.000.000,8.860.000.000,9.020.000.000,6.568.965.820,22865000,"39011,59%"
2004-08-26,9.100.000.000,9.180.000.000,9.070.000.000,9.120.000.000,6.641.793.457,24855000,"36612,35%"
2004-08-27,9.120.000.000,9.200.000.000,9.080.000.000,9.170.000.000,6.678.206.543,20145000,"45271,78%"
2004-08-30,9.170.000.000,9.250.000.000,9.110.000.000,9.160.000.000,6.670.922.852,12080000,"75910,60%"
2004-08-31,9.020.000.000,9.080.000.000,8.930.000.000,9.020.000.000,6.568.965.820,23415000,"38522,31%"
2004-09-01,9.020.000.000,9.140.000.000,8.950.000.000,9.060.000.000,6.598.098.145,18865000,"47813,41%"
2004-09-02,9.040.000.000,9.120.000.000,8.960.000.000,9.040.000.000,6.583.533.691,17605000,"51349,05%"
2004-09-03,8.920.000.000,8.960.000.000,8.730.000.000,8.730.000.000,6.357.769.531,32385000,"27543,62%"
2004-09-06,8.700.000.000,8.730.000.000,8.570.000.000,8.670.000.000,6.314.072.266,23680000,"36739,86%"
2004-09-07,8.680.000.000,8.740.000.000,8.640.000.000,8.680.000.000,6.321.355.957,13220000,"65658,09%"
2004-09-08,8.680.000.000,8.800.000.000,8.670.000.000,8.670.000.000,6.314.072.266,17265000,"50275,12%"
2004-09-09,8.670.000.000,8.800.000.000,8.620.000.000,8.780.000.000,6.394.183.105,32100000,"27009,35%"
2004-09-10,8.840.000.000,9.190.000.000,8.760.000.000,9.150.000.000,6.663.641.113,43785000,"20189,56%"
2004-09-13,9.270.000.000,9.500.000.000,9.240.000.000,9.500.000.000,6.918.535.156,39665000,"23370,73%"
2004-09-14,9.740.000.000,9.760.000.000,9.620.000.000,9.670.000.000,7.042.339.844,40560000,"24013,81%"
2004-09-15,9.550.000.000,9.700.000.000,9.540.000.000,9.560.000.000,6.962.231.445,24865000,"38407,40%"
2004-09-16,9.420.000.000,9.720.000.000,9.380.000.000,9.600.000.000,6.991.362.793,29380000,"32062,63%"
2004-09-17,9.600.000.000,9.640.000.000,9.370.000.000,9.390.000.000,6.838.424.316,34445000,"27870,52%"
2004-09-20,9.370.000.000,9.530.000.000,9.340.000.000,9.380.000.000,6.831.142.090,23480000,"39906,30%"
2004-09-21,9.460.000.000,9.490.000.000,9.380.000.000,9.480.000.000,6.903.968.750,17715000,"53401,07%"
2004-09-22,9.500.000.000,9.580.000.000,9.250.000.000,9.250.000.000,6.736.467.285,19635000,"48382,99%"
2004-09-23,9.160.000.000,9.200.000.000,9.090.000.000,9.200.000.000,6.700.055.664,23755000,"38560,30%"
2004-09-24,9.120.000.000,9.230.000.000,9.080.000.000,9.180.000.000,6.685.487.305,17320000,"52655,89%"
2004-09-27,9.180.000.000,9.180.000.000,9.180.000.000,9.180.000.000,6.685.487.305,0,#DIV/0!
2004-09-28,9.180.000.000,9.180.000.000,9.180.000.000,9.180.000.000,6.685.487.305,0,#DIV/0!
2004-09-29,9.180.000.000,9.180.000.000,9.180.000.000,9.180.000.000,6.685.487.305,0,#DIV/0!
2004-09-30,9.060.000.000,9.180.000.000,9.060.000.000,9.160.000.000,6.670.922.852,26600000,"34060,15%"
2004-10-01,9.160.000.000,9.270.000.000,9.120.000.000,9.220.000.000,6.714.620.605,26530000,"34526,95%"
2004-10-04,9.420.000.000,9.800.000.000,9.420.000.000,9.800.000.000,7.137.012.695,31830000,"29594,72%"
